Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
CH8,ABW,COMPLETE,SPECIFIC_COUNTRY,2020-07-10,1,"residents with prior authorization, non-resident passengers which are granted upon request",1,"Antiga and Barbuda, The Bahamas, Barbados, Cuba, Dominica, Grenada, Jamaica, Saint Kitts and Nevis, Saint Lucia, Saint Vincent, the Grenadines, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Swedan, Liechtenstein, Iceland, Norway, Switzerland, United Kingdom, Canada, Trinidad and Tobago, Anguilla, Virgin Islands British, Cayman Islands, Curaçao, Martinique, Montserrat, Nueva Esparta, Puerto Rico, Saint Barthélemy, Saint Martin, Sint Eustatius Saba, Sint Maarten, Turks and Caicos Islands, United States Virgin Islands, United States",0
CK4,AIA,COMPLETE,SPECIFIC_COUNTRY,2020-07-12,1,"citizens, residents",1,"Aruba, Bonaire, St Eustatius and Saba, Belize, British Virgin Islands, Curacao, Dominica, Montserrat, Saint Barthelemy, St. Kitts/Nevis, St. Lucia, Saint Maarten/Saint Martin, US Virgin Islands, St. Vincent/Grenadines, Suriname, Bahamas, Trinidad and Tobago, Turks and Caicos Islands, Jamaica, Antigua and Barbuda, Bermuda, Cayman Islands, Barbados, Martinique, Guyana, Cuba, Grenada, Guadeloupe, France, Germany, Italy, Portugal, Spain",0
EB65,ALA,COMPLETE,WORK_EXCEP,2020-11-19,1,"nationals of Finland, family members of nationals of Finland, passengers with a residence permit issued by Finland, residents of Finland with a British passport, residents of Finland who are nationals of  Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland and their family members",1,"Vactican City, Australia, South Korea, Japan, Rwanda, Signapore, Thailand, Uruguay, New Zealand, ",1
NL75,ASM,COMPLETE,CITIZEN_EXCEP,2020-12-01,1,citizens,0,no policy,0
EB18,ATG,COMPLETE,SPECIFIC_COUNTRY,2020-04-23,0,no policy,1,Dominican Republic,0
138822,AUS,COMPLETE,SPECIFIC_COUNTRY,2020-10-16,1,"Australian Citizens, permanent residents in Australia, immediate family of Australian citizens or permanent residents, New Zealand citizens residing in Australia",1,New Zealand (quarantine free travel if people who have have been in New Zealand for 14 days or more and not been in a designated hotspot (still requires visa for non New Zealand citizens)),0
EB79,BES,COMPLETE,WORK_EXCEP,2020-11-20,1,"citizens, permanent residents",1,"Saba, Antiga, Anguilla, Montserrat, Saint Vincent, Saint Kits and Nevis",1
CK11,BGR,COMPLETE,SPECIFIC_COUNTRY,2020-07-16,1,"citizens, residents",1,"The Republic of Austria, The Kingdom of Netherlands, The Federal Republic of Germany, The Republic of Poland, The Hellenic Republic, The Kingdom of Denmark, Romania, The Republic of Estonia, The Slovak Republic, The Republic of Slovenia, The Republic of Finland, The Republic of Cyprus, The French Republic, The Republic of Latvia, The Republic of Croatia, The Republic of Lithuania, The Czech Republic, The Grand Duchy of Luxembourg, Iceland, The Kingdom of Norway, The Principality of Liechtenstein, The Swiss Confederation, The Republic of San Marino,The Principality of Andorra, The Principality of Monaco, The Vatican City State, The Republic of Malta, The Italian Republic, The Kingdom of Spain, The Republic of Ireland, The Kingdom of Belgium, The United Kingdom of Great Britain and Northern Ireland, The People’s Democratic Republic of Algeria, The Commonwealth of Australia, Canada, Georgia, Japan, The Kingdom of Morocco, New Zealand, The Republic of Rwanda, The Republic of Korea, The Kingdom of Thailand, The Republic of Tunisia, The Oriental Republic of Uruguay, Ukraine",0
EB11,BHR,COMPLETE,CITIZEN_EXCEP,2020-06-04,1,"citizens, permanent residents",0,no policy,0
4881,BHS,COMPLETE,ESSENTIAL_ONLY,2020-03-24,0,no policy,0,no policy,0
