Country,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_info,Land_ban,Land_ban_info,Sea_ban,Sea_ban_info,Citizen_ban,Citizen_ban_info,Travel_history_ban,Travel_history_ban_info,Refugee_ban,Refugee_ban_info,Visa_ban,Visa_ban_info,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
Aruba,ABW,COMPLETE,SPECIFIC_COUNTRY,2020-07-10,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"residents with prior authorization, non-resident passengers which are granted upon request",1,"Antiga and Barbuda, The Bahamas, Barbados, Cuba, Dominica, Grenada, Jamaica, Saint Kitts and Nevis, Saint Lucia, Saint Vincent, the Grenadines, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Swedan, Liechtenstein, Iceland, Norway, Switzerland, United Kingdom, Canada, Trinidad and Tobago, Anguilla, Virgin Islands British, Cayman Islands, Curaçao, Martinique, Montserrat, Nueva Esparta, Puerto Rico, Saint Barthélemy, Saint Martin, Sint Eustatius Saba, Sint Maarten, Turks and Caicos Islands, United States Virgin Islands, United States",0
Afghanistan,AFG,PARTIAL,BORDER_CLOSURE,2020-03-24,1,all commercial flights suspended except for some from Turkey and India,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Angola,AGO,PARTIAL,BORDER_CLOSURE,2020-10-19,1,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, British Indian Ocean Territory, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, Finland, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, South Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Poland, Puerto Rico, Qatar, Réunion, Romania, Russian Federation, Rwanda, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Slovakia, Slovenia, Solomon Islands, Somalia, Somaliland, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Thailand, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Kingdom, United States Minor Outlying Islands, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Anguilla,AIA,COMPLETE,SPECIFIC_COUNTRY,2020-07-12,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",1,"Aruba, Bonaire, St Eustatius and Saba, Belize, British Virgin Islands, Curacao, Dominica, Montserrat, Saint Barthelemy, St. Kitts/Nevis, St. Lucia, Saint Maarten/Saint Martin, US Virgin Islands, St. Vincent/Grenadines, Suriname, Bahamas, Trinidad and Tobago, Turks and Caicos Islands, Jamaica, Antigua and Barbuda, Bermuda, Cayman Islands, Barbados, Martinique, Guyana, Cuba, Grenada, Guadeloupe, France, Germany, Italy, Portugal, Spain",0
Åland Islands,ALA,COMPLETE,WORK_EXCEP,2020-11-19,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"nationals of Finland, family members of nationals of Finland, passengers with a residence permit issued by Finland, residents of Finland with a British passport, residents of Finland who are nationals of  Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland and their family members",1,"Vactican City, Australia, South Korea, Japan, Rwanda, Signapore, Thailand, Uruguay, New Zealand, ",1
Albania,ALB,PARTIAL,BORDER_CLOSURE,2020-03-24,0,no policy,0,no policy,1,All ferries to/from Italy & other red areas are suspended,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Andorra,AND,NOPOLICYIMPLEMENTED,NONE,2001-01-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
United Arab Emirates,ARE,PARTIAL,VISA_BAN,2020-04-03,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,New visa seekers and existing valid visa holders,0,no policy,0,no policy,0
Argentina,ARG,PARTIAL,BORDER_CLOSURE,2020-11-01,1,Only citizens allowed to fly,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Armenia,ARM,PARTIAL,BORDER_CLOSURE,2020-03-24,1,"Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, South Korea, Switzerland, Turkey, the UK and the US",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
