Country,Country_id,Policy_type,Policy_subtype,Policy_start_date
Aruba,ABW,COMPLETE,SPECIFIC_COUNTRY,2020-07-10
Afghanistan,AFG,PARTIAL,BORDER_CLOSURE,2020-03-24
Angola,AGO,PARTIAL,BORDER_CLOSURE,2020-10-19
Anguilla,AIA,COMPLETE,SPECIFIC_COUNTRY,2020-07-12
Åland Islands,ALA,COMPLETE,WORK_EXCEP,2020-11-19
Albania,ALB,PARTIAL,BORDER_CLOSURE,2020-03-24
Andorra,AND,NOPOLICYIMPLEMENTED,NONE,2001-01-01
United Arab Emirates,ARE,PARTIAL,VISA_BAN,2020-04-03
Argentina,ARG,PARTIAL,BORDER_CLOSURE,2020-11-01
Armenia,ARM,PARTIAL,BORDER_CLOSURE,2020-03-24
American Samoa,ASM,COMPLETE,CITIZEN_EXCEP,2020-12-01
Antarctica,ATA,NOPOLICYIMPLEMENTED,NONE,2001-01-01
Antigua and Barbuda,ATG,COMPLETE,SPECIFIC_COUNTRY,2020-04-23
Australia,AUS,COMPLETE,SPECIFIC_COUNTRY,2020-10-16
Austria,AUT,PARTIAL,BORDER_CLOSURE,2020-03-19
Azerbaijan,AZE,PARTIAL,BORDER_CLOSURE,2020-08-29
Burundi,BDI,PARTIAL,BORDER_CLOSURE,2021-01-11
Belgium,BEL,PARTIAL,BORDER_CLOSURE,2020-04-15
Benin,BEN,PARTIAL,BORDER_CLOSURE,2020-04-17
"Bonaire, Sint Eustatius and Saba",BES,COMPLETE,WORK_EXCEP,2020-11-20
Burkina Faso,BFA,PARTIAL,BORDER_CLOSURE,2020-08-01
Bangladesh,BGD,PARTIAL,BORDER_CLOSURE,2020-12-18
Bulgaria,BGR,COMPLETE,SPECIFIC_COUNTRY,2020-07-16
Bahrain,BHR,COMPLETE,CITIZEN_EXCEP,2020-06-04
Bahamas,BHS,COMPLETE,ESSENTIAL_ONLY,2020-03-24
Bosnia and Herzegovina,BIH,PARTIAL,CITIZENSHIP_BAN,2020-07-14
Saint Barthélemy,BLM,COMPLETE,SPECIFIC_COUNTRY,2020-03-17
Belarus,BLR,PARTIAL,BORDER_CLOSURE,2020-11-01
Belize,BLZ,PARTIAL,BORDER_CLOSURE,2020-10-01
Bermuda,BMU,COMPLETE,WORK_EXCEP,2020-03-23
"Bolivia, Plurinational State of",BOL,COMPLETE,CITIZEN_EXCEP,2020-05-31
Brazil,BRA,COMPLETE,CITIZEN_EXCEP,2020-05-22
Barbados,BRB,COMPLETE,ESSENTIAL_ONLY,2020-04-17
Brunei Darussalam,BRN,COMPLETE,WORK_EXCEP,2020-09-21
Bhutan,BTN,COMPLETE,ESSENTIAL_ONLY,2020-09-08
Botswana,BWA,COMPLETE,CITIZEN_EXCEP,2020-04-30
Central African Republic,CAF,PARTIAL,BORDER_CLOSURE,2020-07-25
Canada,CAN,COMPLETE,WORK_EXCEP,2020-09-17
Cocos (Keeling) Islands,CCK,COMPLETE,SPECIFIC_COUNTRY,2020-09-02
Switzerland,CHE,PARTIAL,BORDER_CLOSURE,2020-06-15
Chile,CHL,PARTIAL,BORDER_CLOSURE,2020-11-23
China,CHN,PARTIAL,VISA_BAN,2020-09-23
Côte d'Ivoire,CIV,PARTIAL,BORDER_CLOSURE,2020-08-18
Cameroon,CMR,PARTIAL,BORDER_CLOSURE,2020-10-25
"Congo, The Democratic Republic of the",COD,PARTIAL,BORDER_CLOSURE,2020-04-03
Congo,COG,COMPLETE,ESSENTIAL_ONLY,2020-03-31
Cook Islands,COK,COMPLETE,WORK_EXCEP,2020-08-30
Colombia,COL,COMPLETE,ESSENTIAL_ONLY,2020-07-08
Comoros,COM,COMPLETE,CITIZEN_EXCEP,2020-03-23
Cabo Verde,CPV,PARTIAL,BORDER_CLOSURE,2020-10-12
Costa Rica,CRI,COMPLETE,SPECIFIC_COUNTRY,2020-11-01
Cuba,CUB,PARTIAL,BORDER_CLOSURE,2020-07-31
Curaçao,CUW,COMPLETE,SPECIFIC_COUNTRY,2020-10-27
Christmas Island,CXR,PARTIAL,BORDER_CLOSURE,2020-11-15
Cayman Islands,CYM,PARTIAL,BORDER_CLOSURE,2020-08-08
Cyprus,CYP,COMPLETE,SPECIFIC_COUNTRY,2020-12-21
Czechia,CZE,PARTIAL,VISA_BAN,2020-04-21
Germany,DEU,PARTIAL,BORDER_CLOSURE,2020-04-15
Djibouti,DJI,PARTIAL,BORDER_CLOSURE,2020-10-22
Dominica,DMA,COMPLETE,CITIZEN_EXCEP,2020-04-16
Denmark,DNK,PARTIAL,CITIZENSHIP_BAN,2020-10-31
Dominican Republic,DOM,PARTIAL,BORDER_CLOSURE,2020-12-22
Algeria,DZA,PARTIAL,BORDER_CLOSURE,2020-03-19
Ecuador,ECU,PARTIAL,BORDER_CLOSURE,2020-06-01
Egypt,EGY,PARTIAL,BORDER_CLOSURE,2020-04-27
Eritrea,ERI,COMPLETE,ESSENTIAL_ONLY,2020-03-25
Sahrawi Arab Democratic Republic,ESH,COMPLETE,ESSENTIAL_ONLY,2020-03-19
Spain,ESP,COMPLETE,WORK_EXCEP,2020-07-04
Estonia,EST,COMPLETE,SPECIFIC_COUNTRY,2020-09-13
Ethiopia,ETH,PARTIAL,BORDER_CLOSURE,2020-04-14
European Union,EUR,COMPLETE,WORK_EXCEP,2020-10-27
Finland,FIN,COMPLETE,WORK_EXCEP,2020-11-09
