Country,Country_id,Quarantine_type
Kiribati,KIR,"Quarantine requirement outside territory.
Kiribati will now deny entry to any travellers who have been in or transited countries with confirmed local transmission within 14 days immediately prior to entering Kiribati. A list of countries covered by these restrictions is available from the Kiribati Ministry of Health and Medical Services."
Kosovo,RKS,"Self-isolation at own accommodation- subject to PCR.

As of 23 December, UK nationals travelling to Kosovo will be required to self-isolate for 14 days. A negative RT-PCR test is required for all other foreign nationals entering Kosovo from countries with a high number of Covid-19 cases, marked as red or orange (more than 60 cases per 100,000) on the official <a href=""https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases"">ECDC map</a>. Those without will be required to self-isolate for 7 days."
Kuwait,KWT,"Self-isolation at own accommodation.

On entry to Kuwait you will need to undergo a further PCR test at the airport and then self-isolate for 14 days in your home."
Kyrgyzstan,KGZ,"Quarantine requirement at government designated site- if displaying symptoms.

However if you’re showing symptoms of Coronavirus you may be taken to state medical facilities. You’re likely to be subject to temperature checks, and other medical observation on arrival, and could be asked to self-isolate at home."
Lao People's Democratic Republic,LAO,"Quarantine requirement at government designated site.
All arrivals testing negative for COVID-19 will have to undergo 14 days quarantine at designated locations (with all expenses covered by individuals or their organisations/companies)."
Latvia,LVA,"Self-isolation at own accommodation- subject to category.

Quarantine is required for travellers, including citizens and permanent residents of Latvia, arriving from countries in which the 14-day cumulative number of COVID-19 cases has exceeded the threshold rate of 50 per 100,000 inhabitants.
Data on the incidence of COVID-19 cases in the EU and third countries is updated every Friday on the  <a href=""https://www.spkc.gov.lv/lv/valstu-saslimstibas-raditaji-ar-covid-19-0"">website of Latvia’s Centre for Disease Prevention and Control.</a> <br>
Quarantine duration:10 days. Particular groups of persons (for example, health and social workers, teachers) who intend to work in Latvia have to self-isolate for 14 days.

"
Lebanon,LBN,"Quarantine requirement at government designated site.

As per Circular 6/2 of the Directorate of Civili Aviation, from 27 January 2021, no more hotel quarantines will be required.
From Monday 11 January 2021, all travellers to Lebanon will be required to take an additional PCR test at Beirut International Airport upon arrival (which is provided at the airline’s expense) and then to quarantine for one week. You must quarantine at a Government of Lebanon approved hotel for 48 hours until you receive the results of your airport test. Buses will transport passengers from the airport to hotels. You must have a prepaid booking at one of these hotels in order to board your flight to Lebanon. Please see further details <a href=""https://moph.gov.lb/en/MoPHPASS"">here</a>. When you receive your airport test result, if it is negative, you may move to your accommodation. You must continue to quarantine at your accommodation before taking another PCR test (that you must arrange yourself) a week after your arrival. Travellers should contact local authorities for <a href=""https://www.moph.gov.lb/en/Pages/2/24870/novel-coronavirus-2019-"">information on testing facilities</a>. If both tests are negative, you may leave quarantine. If you are arriving from Baghdad, Istanbul, Adana, Cairo or Addis Ababa, you must quarantine at a Government of Lebanon approved hotel for the full 7 days."
Lesotho,LSO,"Self-isolation at own accommodation.

All individuals who have been in coronavirus-affected areas within the past 14 days  are required to self-quarantine at their permanent or temporary place of residence for 14 days. This may be monitored by health officials. This self-isolation period may be required to take place in a government-nominated hotel at the visitor’s expense.

Anyone showing symptoms of coronavirus will be required to self -isolate at their permanent or temporary residence or may be placed in an isolation facility in a government hospital at their own expense. "
Liberia,LBR,"Self-isolation at own accommodation. 

Government of Liberia strongly recommends that all travellers self-isolate for 7 days and self-monitor symptoms via the Lib Travel app for 14 days, beginning the day after arrival in Liberia."
Libya,LBY,"Quarantine at own accommodation or designated centre subject to PCR test.

On arrival, travellers will undergo PCR testing and must quarantine for three days until the result is received. Travellers with a positive result will be transferred to a designated centre for further treatment, and those with a negative result will be subject to home quarantine for ten days."
Liechtenstein,LIE,"Self-isolation at own accommodation- subject to categorisation.
 <br>
Travelling to and from EU/EAA countries is in principle allowed. For further details, see the rules applicable to Switzerland, which apply to Liechtenstein as well."
Lithuania,LTU,"Self-isolation at own accommodation- based on cateogrisation.

Travellers from EU Member States or Schengen Associated Countries listed as affected countries, should <a href=""https://nvsc.lrv.lt/en/information-on-covid-19/for-arrivals-from-abroad/requirements-for-people-arriving-from-abroad-starting-from-january-25th"">self-isolate for 14 days</a>
 self-isolate for 14 days from the day of arrival in the Republic of Lithuania. The isolation period may be shortened after a negative PCR test for coronavirus infection performed not earlier than on day 10 of self-isolation (the test is carried out at own expense). 
Other: Persons arriving from countries where the spread of new virus variants has been detected, must obtain  <a href=""https://nvsc.lrv.lt/en/information-on-covid-19/for-arrivals-from-abroad/everything-you-need-to-know-about-isolation/when-are-you-allowed-to-leave-the-place-of-isolation"">the NPHC permission,</a>to leave the place of isolation for certain specified reasons. To leave Lithuania for the country of residence or work before the end of self-isolation period must notify <a href=""https://nvsc.lrv.lt/leave"">must notify NPHC</a> 24 hours before departure.
"
