Country,Country_id,vaccination_date,total_vaccinations,avg_daily_vaccinations
United Arab Emirates,ARE,2021-01-26,2677680.0,77424.36363636363
Argentina,ARG,2021-01-26,305880.0,10989.206896551725
Austria,AUT,2021-01-26,185643.0,7936.636363636364
Belgium,BEL,2021-01-25,213301.0,6503.103448275862
Bulgaria,BGR,2021-01-26,29122.0,1008.4137931034483
Bahrain,BHR,2021-01-20,144130.0,3948.4827586206898
Bermuda,BMU,2021-01-16,1665.0,238.28571428571428
Brazil,BRA,2021-01-26,848883.0,42060.454545454544
Canada,CAN,2021-01-26,868454.0,18095.25
Switzerland,CHE,2021-01-24,197368.0,4971.393939393939
Chile,CHL,2021-01-26,66569.0,2126.8529411764707
China,CHN,2021-01-20,15000000.0,322152.5135135135
Costa Rica,CRI,2021-01-25,48128.0,1235.2727272727273
Cyprus,CYP,2021-01-22,17379.0,708.6470588235294
Czechia,CZE,2021-01-26,222450.0,6480.4838709677415
Germany,DEU,2021-01-25,1921689.0,57528.73333333333
Denmark,DNK,2021-01-25,213724.0,6904.766666666666
Ecuador,ECU,2021-01-22,108.0,54.0
Spain,ESP,2021-01-26,1291216.0,53832.04347826087
Estonia,EST,2021-01-26,27180.0,852.4
Finland,FIN,2021-01-26,117007.0,3488.8888888888887
France,FRA,2021-01-26,1184510.0,43676.86956521739
United Kingdom,GBR,2021-01-25,7325773.0,155151.35135135136
Gibraltar,GIB,2021-01-25,10539.0,710.375
Greece,GRC,2021-01-26,195783.0,5142.866666666667
Croatia,HRV,2021-01-25,69984.0,2176.3703703703704
Hungary,HUN,2021-01-25,162315.0,5227.620689655172
Indonesia,IDN,2021-01-26,245685.0,12677.266666666666
Isle of Man,IMN,2021-01-25,4209.0,109.2
India,IND,2021-01-26,2029480.0,164374.75
Ireland,IRL,2021-01-24,143000.0,5025.52
Iceland,ISL,2021-01-25,15220.0,198.77777777777777
Israel,ISR,2021-01-26,4146005.0,93928.35897435897
Italy,ITA,2021-01-26,1525612.0,44674.16129032258
Kuwait,KWT,2020-12-28,2500.0,0.0
Lithuania,LTU,2021-01-26,70018.0,2330.0
Luxembourg,LUX,2021-01-25,8554.0,227.62962962962962
Latvia,LVA,2021-01-25,19683.0,699.551724137931
Mexico,MEX,2021-01-26,652319.0,17764.470588235294
Malta,MLT,2021-01-25,21172.0,633.0344827586207
Netherlands,NLD,2021-01-26,173638.0,7573.428571428572
Norway,NOR,2021-01-25,80003.0,2534.8333333333335
Oman,OMN,2021-01-26,36206.0,1161.1666666666667
World,OWID_WRL,2021-01-26,71096003.0,1498404.4545454546
Panama,PAN,2021-01-24,6420.0,957.6666666666666
Poland,POL,2021-01-25,776987.0,23985.241379310344
Portugal,PRT,2021-01-26,263499.0,8285.366666666667
Romania,ROU,2021-01-26,528378.0,14018.8
Russia,RUS,2021-01-13,1000000.0,30900.866666666665
Saudi Arabia,SAU,2021-01-17,295530.0,17642.083333333332
Singapore,SGP,2021-01-22,60000.0,4374.166666666667
Serbia,SRB,2021-01-26,310266.0,8851.263157894737
Slovakia,SVK,2021-01-25,102692.0,4631.681818181818
Slovenia,SVN,2021-01-25,57591.0,2261.086956521739
Sweden,SWE,2021-01-25,192700.0,6097.966666666666
Seychelles,SYC,2021-01-25,19889.0,1044.4705882352941
Turkey,TUR,2021-01-26,1410273.0,139812.7142857143
United States,USA,2021-01-26,23540994.0,529210.4210526316
