adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,,1
Afghanistan,AFG,66.026881,33.831602,,,,,,,,2
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,,3
Åland Islands,ALA,19.80946,60.15449,,,,,,,,4
Albania,ALB,20.066643,41.138926,,,,,,,,5
Algeria,DZA,2.678028,28.157361,,https://www.aps.dz/en/economy/37487-air-algerie-chiali-installs-amine-debaghine-mesraoua-as-interim-ceo,Air Algerie,Chiali installs Amine Debaghine Mesraoua as Air Algerie Interim CEO.,,,,6
American Samoa,ASM,-170.71806,-14.300686,,,,,,,,7
Andorra,AND,1.576279,42.545479,,,,,,,,8
Angola,AGO,17.577532,-12.337524,01.02.2021,https://www.forbes.com/sites/martinrivers/2021/01/30/fly-angola-back-in-the-skies-with-own-operating-license/,Fly Angola,Fly Angola back in the skies with own operating license.,,,,9
Antarctica,ATA,21.475857,-80.408977,,,,,,,,10
Antigua and Barbuda,ATG,-61.799256,17.077306,04.01.2021,http://www.virginislandsdailynews.com/liat-resumes-flying-to-bvi/article_9877a49d-febc-5c3a-8501-d6df6aa52c77.html,LIAT Airlines, LIAT resumes flights to British Virgin Islands amid COVID-19 concerns,,,,11
Argentina,ARG,-63.578123,-31.578414,08.02.2021,https://simpleflying.com/lan-argentina-ceases-operations/,LAN Argentina,LAN Argentina ceases operations following COVID-19 crisis,,,,12
Armenia,ARM,44.938387,40.295005,09.02.2021,https://en.armradio.am/2021/02/09/air-arabia-to-resume-sharjah-yerevan-flights/,Air Arabia,Air Arabia to resume Sharjah-Yerevan flights,,,,13
Aruba,ABW,-69.970272,12.50911,,,,,,,,14
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,,,,,,,15
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,,,,,,,16
Australia,AUS,134.354708,-25.573209,01.02.2021,https://www.executivetraveller.com/news/qantas-direct-perth-johannesburg-flights,Qantas,Qantas keen for direct Perth-Johannesburg flights.,,,,17
Australia,AUS,134.354708,-25.573209,04.01.2021,https://www.executivetraveller.com/news/qantas-reopens-bookings-for-all-international-flights-from-july-2021,Qantas,Qantas reopens bookings for all international flights from July 2021,,,,18
Australia,AUS,134.354708,-25.573209,12.01.2021,https://www.ch-aviation.com/portal/news/99297-qantas-to-resume-intl-flights-in-3q21,Qantas,Qantas to resume int'l flights in 3Q21.,,,,19
Australia,AUS,134.354708,-25.573209,14.01.2021,https://simpleflying.com/qantas-domestic-competitors-post-covid/,Qantas,Qantas expects to have two domestic competitors less after COVID (Rex and Virgin Australia).,,,,20
